iter	Logloss
0	0.6549771902
1	0.6226956866
2	0.5912197079
3	0.565841213
4	0.5425127049
5	0.5231129877
6	0.5052413697
7	0.4904104287
8	0.480861466
9	0.4702779001
10	0.4609370118
11	0.4537647641
12	0.4450935748
13	0.438125178
14	0.4347502381
15	0.4275801494
16	0.4206316083
17	0.4153410905
18	0.4095587297
19	0.4042358267
20	0.3985333958
21	0.3947914592
22	0.3908188881
23	0.3866707809
24	0.3829697537
25	0.3795490865
26	0.377449329
27	0.3745719029
28	0.3735212061
29	0.3708586962
30	0.3670766938
31	0.3644690249
32	0.3620705128
33	0.3604097579
34	0.3578852235
35	0.3551311988
36	0.3534700432
37	0.3514753642
38	0.3491659287
39	0.3488975555
40	0.3463279741
41	0.3451530338
42	0.3427072942
43	0.3417654709
44	0.3403952257
45	0.3391224791
46	0.3374725796
47	0.3364311734
48	0.3354249492
49	0.3337835775
50	0.3323228018
51	0.3310238459
52	0.3303825318
53	0.3279252614
54	0.3278078108
55	0.3275652041
56	0.3266402559
57	0.3249362969
58	0.32353567
59	0.3219985299
60	0.3210763263
61	0.3195216497
62	0.3191260181
63	0.3167923228
64	0.3155663386
65	0.3147297785
66	0.3140943473
67	0.3126422456
68	0.311345306
69	0.3097295318
70	0.3091613801
71	0.3081008775
72	0.3073935024
73	0.306628452
74	0.3050414217
75	0.3043494361
76	0.3033060493
77	0.3019716624
78	0.3012256509
79	0.299686602
80	0.2989126193
81	0.2985359161
82	0.2971921781
83	0.2960581347
84	0.2946126088
85	0.2937097764
86	0.2928893385
87	0.2918581167
88	0.291491309
89	0.2908288394
90	0.2899919684
91	0.2896740259
92	0.2890102923
93	0.2877148832
94	0.2861126458
95	0.2860109324
96	0.2856047457
97	0.2844728135
98	0.2839461318
99	0.2832728207
100	0.2824846735
101	0.2814223899
102	0.2808257449
103	0.2802280825
104	0.2795859196
105	0.2790274813
106	0.2783646009
107	0.277702304
108	0.2768011766
109	0.2762946107
110	0.2760855153
111	0.2755677365
112	0.2753555547
113	0.274911039
114	0.2736406461
115	0.2735345559
116	0.2723789125
117	0.2718963595
118	0.2718556846
119	0.2708551313
120	0.2701363158
121	0.269481994
122	0.2687998582
123	0.2682054904
124	0.2676691117
125	0.2672980964
126	0.2669581804
127	0.266065226
128	0.2658778942
129	0.2648012843
130	0.2635112408
131	0.2633970128
