iter	Passed	Remaining
0	11	6376
1	37	10312
2	58	10672
3	78	10772
4	98	10767
5	118	10804
6	137	10692
7	155	10550
8	157	9501
9	177	9590
10	195	9573
11	198	8931
12	215	8925
13	233	8938
14	235	8429
15	253	8461
16	271	8523
17	290	8612
18	308	8635
19	324	8615
20	342	8656
21	364	8756
22	382	8771
23	399	8766
24	415	8745
25	433	8759
26	451	8765
27	469	8765
28	472	8499
29	490	8511
30	507	8509
31	524	8501
32	541	8504
33	558	8485
34	576	8497
35	593	8493
36	610	8480
37	627	8474
38	643	8452
39	645	8246
40	663	8255
41	681	8264
42	700	8273
43	717	8265
44	737	8289
45	756	8309
46	774	8303
47	793	8312
48	811	8313
49	829	8310
50	847	8312
51	865	8308
52	882	8296
53	902	8308
54	905	8166
55	908	8030
56	925	8017
57	942	8007
58	959	8003
59	982	8039
60	1004	8070
61	1058	8350
62	1086	8415
63	1107	8427
64	1123	8398
65	1139	8372
66	1153	8336
67	1169	8307
68	1186	8286
69	1201	8253
70	1218	8234
71	1232	8201
72	1247	8169
73	1263	8142
74	1279	8118
75	1296	8100
76	1314	8093
77	1330	8067
78	1345	8038
79	1360	8011
80	1376	7989
81	1393	7969
82	1410	7955
83	1426	7932
84	1443	7912
85	1459	7892
86	1476	7876
87	1493	7856
88	1510	7839
89	1528	7829
90	1544	7809
91	1560	7786
92	1576	7764
93	1592	7743
94	1608	7718
95	1610	7630
96	1628	7622
97	1644	7600
98	1659	7578
99	1677	7566
100	1692	7542
101	1708	7518
102	1725	7505
103	1740	7482
104	1759	7471
105	1774	7450
106	1791	7432
107	1807	7413
108	1823	7394
109	1840	7380
110	1847	7323
111	1863	7303
112	1866	7234
113	1880	7210
114	1896	7190
115	1898	7120
116	1916	7108
117	1933	7093
118	1936	7031
119	1955	7022
120	1971	7006
121	1988	6991
122	2004	6976
123	2020	6958
124	2038	6947
125	2054	6928
126	2069	6909
127	2087	6899
128	2106	6892
129	2122	6872
130	2138	6856
131	2140	6794
132	2157	6781
133	2172	6762
134	2188	6743
135	2203	6723
136	2219	6707
137	2236	6692
138	2254	6681
139	2270	6665
140	2286	6647
141	2302	6631
142	2317	6612
143	2335	6602
144	2354	6592
145	2369	6573
146	2385	6555
147	2402	6541
148	2419	6527
149	2435	6510
150	2456	6506
151	2471	6486
152	2486	6468
153	2503	6453
154	2518	6434
155	2534	6416
156	2551	6403
157	2570	6392
158	2587	6379
159	2604	6365
160	2619	6346
161	2635	6329
162	2650	6308
163	2669	6299
164	2684	6280
165	2699	6261
166	2714	6242
167	2730	6225
168	2747	6210
169	2767	6202
170	2783	6186
171	2798	6165
172	2812	6145
173	2828	6129
174	2844	6111
175	2861	6097
176	2878	6082
177	2894	6064
178	2911	6050
179	2929	6037
180	2944	6019
181	2960	6002
182	2979	5991
183	2995	5975
184	3011	5958
185	3028	5942
186	3043	5924
187	3061	5911
188	3081	5902
189	3098	5888
190	3115	5872
191	3131	5855
192	3146	5836
193	3162	5819
194	3177	5801
195	3195	5787
196	3209	5767
197	3225	5751
198	3240	5732
199	3257	5716
200	3273	5700
201	3293	5690
202	3308	5671
203	3324	5654
204	3339	5635
205	3355	5619
206	3371	5603
207	3391	5591
208	3406	5574
209	3422	5557
210	3438	5541
211	3454	5523
212	3471	5509
213	3487	5491
214	3506	5480
215	3524	5465
216	3538	5446
217	3556	5433
218	3572	5416
219	3587	5397
220	3605	5384
221	3622	5368
222	3637	5349
223	3652	5332
224	3668	5315
225	3683	5297
226	3703	5286
227	3719	5268
228	3733	5250
229	3749	5232
230	3765	5216
231	3781	5199
232	3801	5187
233	3816	5170
234	3832	5153
235	3848	5136
236	3865	5121
237	3881	5104
238	3897	5087
239	3920	5079
240	3935	5061
241	3951	5045
242	3967	5028
243	3983	5012
244	3997	4993
245	4018	4982
246	4034	4965
247	4051	4950
248	4067	4933
249	4083	4916
250	4098	4898
251	4118	4886
252	4133	4869
253	4150	4852
254	4165	4835
255	4182	4820
256	4200	4804
257	4215	4787
258	4235	4774
259	4252	4759
260	4267	4742
261	4284	4726
262	4302	4711
263	4318	4694
264	4338	4682
265	4356	4668
266	4372	4650
267	4388	4634
268	4406	4619
269	4427	4608
270	4444	4592
271	4460	4574
272	4476	4558
273	4493	4543
274	4511	4527
275	4528	4511
276	4544	4495
277	4561	4479
278	4577	4462
279	4593	4445
280	4609	4428
281	4624	4410
282	4640	4394
283	4657	4378
284	4673	4361
285	4687	4343
286	4702	4325
287	4718	4308
288	4736	4293
289	4752	4277
290	4767	4259
291	4783	4243
292	4800	4226
293	4817	4210
294	4833	4194
295	4851	4179
296	4867	4162
297	4883	4145
298	4899	4129
299	4915	4112
300	4932	4096
301	4950	4081
302	4966	4065
303	4984	4049
304	4999	4032
305	5015	4015
306	5031	3998
307	5047	3982
308	5066	3967
309	5081	3950
310	5097	3933
311	5114	3917
312	5130	3901
313	5145	3883
314	5163	3868
315	5179	3851
316	5195	3834
317	5211	3818
318	5226	3801
319	5242	3784
320	5258	3768
321	5275	3751
322	5292	3735
323	5307	3718
324	5324	3702
325	5341	3686
326	5357	3669
327	5374	3653
328	5391	3638
329	5408	3621
330	5432	3610
331	5452	3596
332	5469	3580
333	5486	3564
334	5502	3548
335	5517	3530
336	5533	3513
337	5548	3496
338	5563	3479
339	5581	3464
340	5596	3446
341	5612	3430
342	5628	3413
343	5643	3395
344	5659	3379
345	5674	3362
346	5691	3346
347	5708	3329
348	5724	3313
349	5740	3296
350	5756	3280
351	5773	3264
352	5791	3248
353	5807	3231
354	5823	3215
355	5840	3199
356	5856	3182
357	5872	3165
358	5890	3150
359	5906	3133
360	5922	3116
361	5939	3100
362	5957	3085
363	5973	3068
364	5988	3051
365	6006	3036
366	6022	3019
367	6049	3008
368	6067	2992
369	6084	2976
370	6102	2960
371	6119	2944
372	6135	2927
373	6152	2911
374	6168	2894
375	6184	2878
376	6202	2862
377	6218	2846
378	6236	2830
379	6252	2813
380	6269	2797
381	6286	2781
382	6302	2764
383	6320	2748
384	6336	2732
385	6352	2715
386	6369	2699
387	6386	2683
388	6402	2666
389	6423	2651
390	6439	2635
391	6455	2618
392	6471	2601
393	6486	2584
394	6502	2567
395	6521	2552
396	6536	2535
397	6551	2518
398	6567	2501
399	6583	2485
400	6599	2468
401	6616	2452
402	6634	2436
403	6650	2419
404	6675	2406
405	6692	2390
406	6709	2373
407	6724	2356
408	6743	2341
409	6760	2324
410	6777	2308
411	6793	2292
412	6810	2275
413	6827	2259
414	6845	2243
415	6861	2226
416	6878	2210
417	6895	2194
418	6913	2178
419	6930	2161
420	6949	2145
421	6965	2129
422	6981	2112
423	6995	2095
424	7011	2078
425	7028	2062
426	7049	2047
427	7064	2030
428	7080	2013
429	7094	1996
430	7108	1979
431	7125	1962
432	7145	1947
433	7160	1930
434	7175	1913
435	7190	1896
436	7208	1880
437	7224	1863
438	7240	1847
439	7258	1831
440	7274	1814
441	7290	1797
442	7307	1781
